match_date,year,tournament,stage,team_a,team_b,gf_avg_a,ga_avg_a,xgf_avg_a,xga_avg_a,points_avg_a,matches_played_a,gf_avg_b,ga_avg_b,xgf_avg_b,xga_avg_b,points_avg_b,matches_played_b,gf_diff,ga_diff,xgf_diff,xga_diff,form_diff,experience_diff,goals_a,goals_b,xg_a,xg_b
2022-11-23,2022,FIFA World Cup,Group stage,Belgium,Canada,1.6,0.8,1.24,1.4200000000000002,2.4,7,1.3,1.3,1.3,1.3,1.0,0,0.30000000000000004,0.5,-0.06000000000000005,-0.1200000000000001,1.4,7,1,0,0.8,2.4
2022-11-23,2022,FIFA World Cup,Group stage,Spain,Costa Rica,1.75,1.5,2.0500000000000003,1.025,1.5,4,0.6666666666666666,1.6666666666666667,0.8333333333333334,1.6333333333333335,0.3333333333333333,3,1.0833333333333335,0.16666666666666674,1.2166666666666668,0.6083333333333336,1.1666666666666667,1,7,0,3.5,0.0
2022-11-23,2022,FIFA World Cup,Group stage,Germany,Japan,0.6666666666666666,1.3333333333333333,1.8333333333333333,1.3,1.0,3,1.5,1.75,1.075,1.575,1.0,4,-0.8333333333333334,0.41666666666666674,0.7583333333333333,0.2749999999999999,0.0,-1,1,2,3.1,1.5
2022-11-23,2022,FIFA World Cup,Group stage,Morocco,Croatia,0.6666666666666666,1.3333333333333333,0.9333333333333332,1.7,0.3333333333333333,3,1.8,1.8,1.5400000000000003,1.14,1.6,7,-1.1333333333333333,0.4666666666666668,-0.606666666666667,-0.56,-1.2666666666666668,-4,0,0,0.4,0.5
2022-11-24,2022,FIFA World Cup,Group stage,Switzerland,Cameroon,1.25,1.25,1.2750000000000001,1.625,1.25,4,1.3,1.3,1.3,1.3,1.0,0,-0.050000000000000044,0.050000000000000044,-0.02499999999999991,-0.32499999999999996,0.25,4,1,0,1.4,0.7
2022-11-24,2022,FIFA World Cup,Group stage,Portugal,Ghana,1.5,1.5,1.175,1.125,1.25,4,1.3,1.3,1.3,1.3,1.0,0,0.19999999999999996,-0.19999999999999996,-0.125,0.17500000000000004,0.25,4,3,2,2.0,0.9
2022-11-24,2022,FIFA World Cup,Group stage,Brazil,Serbia,1.6,0.6,2.3400000000000007,0.6,2.0,5,0.6666666666666666,1.3333333333333333,1.0666666666666667,1.4666666666666668,1.0,3,0.9333333333333335,0.7333333333333333,1.273333333333334,0.8666666666666668,1.0,2,2,0,2.4,0.2
2022-11-24,2022,FIFA World Cup,Group stage,Uruguay,Korea Republic,1.4,0.6,1.44,0.44000000000000006,2.4,5,1.0,1.0,0.9666666666666667,2.3,1.0,3,0.3999999999999999,0.4,0.4733333333333333,1.8599999999999999,1.4,2,0,0,0.6,0.6
2022-11-25,2022,FIFA World Cup,Group stage,England,United States,2.0,1.4,1.36,1.14,1.4,8,1.0,1.0,0.8,1.5,1.0,1,1.0,-0.3999999999999999,0.56,0.3600000000000001,0.3999999999999999,7,0,0,0.8,0.6
2022-11-25,2022,FIFA World Cup,Group stage,Netherlands,Ecuador,2.0,0.0,0.7,0.9,3.0,1,2.0,0.0,1.2,0.3,3.0,1,0.0,0.0,-0.5,-0.6000000000000001,0.0,0,1,1,0.1,1.7
2022-11-25,2022,FIFA World Cup,Group stage,Qatar,Senegal,0.0,2.0,0.3,1.2,0.0,1,1.0,1.5,0.95,0.675,1.0,4,-1.0,-0.5,-0.6499999999999999,-0.5249999999999999,-1.0,-3,1,3,1.0,0.8
2022-11-25,2022,FIFA World Cup,Group stage,Wales,IR Iran,1.0,1.0,1.5,0.8,1.0,1,1.0,2.0,1.125,1.5,1.0,4,0.0,1.0,0.375,0.7,0.0,-3,0,2,0.9,1.4
